timestamp_utc,exchange,symbol,best_bid,best_ask,spread,spread_bps,top_depth,trade_count_100,buy_trades_100,sell_trades_100,ticker_last,ticker_volume,percentage_change,provider_data_hash
2026-05-24T17:56:35.701945+00:00,gateio,BTC/USDT,76702.6,76702.7,0.09999999999126885,0.01303736,0.539989,100,53,47,76702.6,5489.292981,1.58,4725e19c54ae3efd0a992376f7e816c1de178b003832ab899da9c6afa4c329fa
2026-05-24T17:56:38.134109+00:00,gateio,ETH/USDT,2103.39,2103.4,0.010000000000218279,0.04754219,6.7829,100,54,46,2103.4,145028.4701,1.85,68a352e40eeda8fc8f509fe4a5a1061db9e730dbf3e2ea7c3746730bc55cdba7
2026-05-24T17:56:39.783692+00:00,gateio,SOL/USDT,85.66,85.67,0.010000000000005116,1.16733789,83.243,100,41,59,85.67,1024362.244,1.66,bdfea4c0dbe038228bccf37e6b7f462b96e7684c8965a4726bb767ed16bb2704
2026-05-24T17:56:41.011643+00:00,gateio,BNB/USDT,656.6,656.7,0.10000000000002274,1.52288129,4.312,100,45,55,656.6,15748.312,1.1,0c3532eae3aba968af6c5491f7d6dd35d91cd5b4fa61a6313133264c3c6893e5
2026-05-24T17:56:42.654073+00:00,gateio,XRP/USDT,1.353,1.354,0.001000000000000112,7.38825268,12613.655999999999,100,45,55,1.353,9449491.846,1.04,d7aa7558d32178fd87a0838d92b0339e05fe8b3576926c3ac365c6f5aecb7c9d
2026-05-24T17:56:45.123418+00:00,gateio,DOGE/USDT,0.10238,0.10239,9.999999999996123e-06,0.97670557,23710.19,100,42,58,0.10238,275532026.55,1.0,113f313ee88bcbc51b720384e7fd5be46c45f1fa384af8529b6f2a72322a1181
2026-05-24T17:56:47.165821+00:00,gateio,ADA/USDT,0.2431,0.2432,9.999999999998899e-05,4.11268764,7276.7,100,44,56,0.2431,32205594.13,0.16,749cbb0a6fc757deea6f796468210566a834e25c99cf37d615149b4a57e8a093
2026-05-24T17:56:49.211898+00:00,gateio,AVAX/USDT,9.259,9.261,0.0019999999999988916,2.15982721,61.61,100,64,36,9.27,52562.44,1.38,227daf9a0b3bd659dbf1e412788478fee505ea12c3e80eab189a5fbac02c8008
2026-05-24T17:56:50.496161+00:00,gateio,LINK/USDT,9.465,9.467,0.002000000000000668,2.11282485,39.34,100,40,60,9.465,742886.88,1.52,1b75e3efad60e7d39ed8d74b295b4c2e81f556fbd2f46bff1da61a350b18c85a
2026-05-24T17:56:52.077775+00:00,gateio,TON/USDT,1.7594,1.7603,0.0008999999999999009,5.11407222,125.49000000000001,100,50,50,1.7592,3658874.18,-1.23,0eb01f1c7834714eab9f64021d040076ea6ad8374eab7e401aab653d3f8a6a65
2026-05-25T08:37:46.303176+00:00,gateio,ETH/USDT,2114.17,2114.18,0.009999999999763531,0.04729977,7.4094,100,36,64,2114.18,96538.3883,-0.32,8c481b55d16554493aec79ee48e86bca85ba950e17c1c32a456ec4fb34392e39
2026-05-25T08:37:47.737415+00:00,gateio,SOL/USDT,85.93,85.94,0.009999999999990905,1.16367022,69.904,100,43,57,85.93,897127.6,-0.6,9b1579e852b933ae832242f76c700170ad1a47b6285b220235070d0c25d31c66
2026-05-25T08:37:49.379198+00:00,gateio,BNB/USDT,661.7,661.8,0.09999999999990905,1.51114469,6.568,100,40,60,661.7,14282.485,0.53,684ff5d16d02b1c412d9c276319bb8442af967e25179d972f99d17dcbcf66774
2026-05-25T08:37:50.566992+00:00,gateio,XRP/USDT,1.363,1.364,0.001000000000000112,7.33406674,8754.884,100,34,66,1.364,10182317.139,0.29,40ceb901f2aefe1c85aadc8f033a0973ce820d2edf49ed3d364393d1bebe4dac
2026-05-25T08:37:51.691067+00:00,gateio,DOGE/USDT,0.10277,0.10278,9.999999999996123e-06,0.97299927,10792.11,100,52,48,0.10276,224704686.11,-0.12,2d5b9f5be3035453b992b84c366f58ff8be88f2ff589caabe7917aa68e8109ec
2026-05-25T08:37:53.400093+00:00,gateio,ADA/USDT,0.2446,0.2447,9.999999999998899e-05,4.0874719,29980.420000000002,100,63,37,0.2447,26638107.52,-0.48,4fcf0366b2b6c22b490ffb981377d41aa68a3bea91fad4be0f649f43bd2b13b0
2026-05-25T08:37:54.976039+00:00,gateio,AVAX/USDT,9.342,9.343,0.0009999999999994458,1.07037731,37.747,100,64,36,9.341,20407.017,-0.03,4ebfa9efdcbcd5aa4f2eca1322e202ee345b9d198b7f7adcfdd09454b00d45fd
2026-05-25T08:37:56.480577+00:00,gateio,LINK/USDT,9.516,9.519,0.0030000000000001137,3.15208826,87.37,100,44,56,9.519,382250.44,-0.55,666d1bb61e3144129c5cc560f354828914d8a620a0bfb920dd2249740776c59c
2026-05-25T08:37:58.099516+00:00,gateio,TON/USDT,1.8037,1.8044,0.0006999999999999229,3.88015853,115.28,100,41,59,1.8043,4218537.48,1.46,d84ef41a5d74dbf33372a411345bb4156338a43b652752fc3118e97188791072
2026-05-25T09:56:46.827001+00:00,gateio,BTC/USDT,77614.1,77614.2,0.09999999999126885,0.01288425,0.352324,100,22,78,77614.2,5034.132962,0.81,23786ccc67745a94fd7171aba8cbebab6bb2360b5f40c1beec7040264a7507b3
