failure_type,block,agent_state,agent_mode,composite_dij,gas_dij,base_fee_dij,lookahead_blocks,note
early_caution_without_clutch,19000150,EARLY_CAUTION,SELECTIVE_EXECUTE,0.883753,0.0,0.0,20,Agent shifted cautious but CLUTCH did not materialize within lookahead.
early_caution_without_clutch,19000152,CAUTION,REDUCE_SIZE,0.893276,0.0,0.0,20,Agent shifted cautious but CLUTCH did not materialize within lookahead.
early_caution_without_clutch,19000155,CAUTION,REDUCE_SIZE,0.882405,0.0,0.0,20,Agent shifted cautious but CLUTCH did not materialize within lookahead.
early_caution_without_clutch,19000156,EARLY_CAUTION,SELECTIVE_EXECUTE,0.886301,0.0,0.0,20,Agent shifted cautious but CLUTCH did not materialize within lookahead.
early_caution_without_clutch,19000157,CAUTION,REDUCE_SIZE,0.888956,0.0,0.0,20,Agent shifted cautious but CLUTCH did not materialize within lookahead.
early_caution_without_clutch,19000159,CAUTION,REDUCE_SIZE,0.888718,0.0,0.0,20,Agent shifted cautious but CLUTCH did not materialize within lookahead.
early_caution_without_clutch,19000160,CAUTION,REDUCE_SIZE,0.881148,0.0,0.0,20,Agent shifted cautious but CLUTCH did not materialize within lookahead.
early_caution_without_clutch,19000161,CAUTION,REDUCE_SIZE,0.878531,0.0,0.0,20,Agent shifted cautious but CLUTCH did not materialize within lookahead.
early_caution_without_clutch,19000163,CAUTION,REDUCE_SIZE,0.876923,0.0,0.0,20,Agent shifted cautious but CLUTCH did not materialize within lookahead.
early_caution_without_clutch,19000164,CAUTION,REDUCE_SIZE,0.876663,0.0,0.0,20,Agent shifted cautious but CLUTCH did not materialize within lookahead.
early_caution_without_clutch,19000165,CAUTION,REDUCE_SIZE,0.869802,0.0,0.0,20,Agent shifted cautious but CLUTCH did not materialize within lookahead.
early_caution_without_clutch,19000166,CAUTION,REDUCE_SIZE,0.869974,0.0,0.0,20,Agent shifted cautious but CLUTCH did not materialize within lookahead.
